ID,Name,Parameter,Language,Frequency,Confidence,References
kre,Subject affixes on verb,Expression of Pronominal Subjects,Kresh,,,Santandrea 1976
kro,Mixed,Expression of Pronominal Subjects,Krongo,,,Reh 1985
knc,Mixed,Expression of Pronominal Subjects,Kugu Nganhcara,,,Smith and Johnson 2000
knm,Subject affixes on verb,Expression of Pronominal Subjects,Kunama,,,Tucker and Bryan 1966
kmp,Subject affixes on verb,Expression of Pronominal Subjects,Kunimaipa,,,Geary 1977
krd,Subject affixes on verb,Expression of Pronominal Subjects,Kurdish (Central),,,Abdulla and McCarus 1967
kut,Subject pronouns in different position,Expression of Pronominal Subjects,Kutenai,,,
thy,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Kuuk Thaayorre,,,
kwa,Subject pronouns in different position,Expression of Pronominal Subjects,Kwaio,,,Keesing 1985
kwk,Subject affixes on verb,Expression of Pronominal Subjects,Kwakw'ala,,,Boas 1911a
kwn,Subject affixes on verb,Expression of Pronominal Subjects,Kwangali,,,Dammann 1957
kwz,Subject affixes on verb,Expression of Pronominal Subjects,Kwaza,,,van der Voort 2004
kwt,Subject affixes on verb,Expression of Pronominal Subjects,Kwomtari,,,Spencer 2008
kxo,Optional pronouns in subject position,Expression of Pronominal Subjects,Kxoe,,,Köhler 1981
kyk,Subject affixes on verb,Expression of Pronominal Subjects,Kyaka,,,Draper and Draper 2002
laa,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Laal,,,Boyeldieu 1982
lad,Optional pronouns in subject position,Expression of Pronominal Subjects,Ladakhi,,,Koshal 1979
lah,Optional pronouns in subject position,Expression of Pronominal Subjects,Lahu,,,Matisoff 1973
lai,Subject pronouns in different position,Expression of Pronominal Subjects,Lai,,,Hay-Neave 1953
lkt,Subject affixes on verb,Expression of Pronominal Subjects,Lakhota,,,Buechel 1939
lal,Optional pronouns in subject position,Expression of Pronominal Subjects,Lalo,,,Björverud 1998
lmn,Mixed,Expression of Pronominal Subjects,Lamani,,,Trail 1970
lmb,Subject pronouns in different position,Expression of Pronominal Subjects,Lamba,,,Doke 1922
lmp,Optional pronouns in subject position,Expression of Pronominal Subjects,Lampung,,,Walker 1976
lgi,Subject affixes on verb,Expression of Pronominal Subjects,Langi,,,Seidel 1898
lan,Subject affixes on verb,Expression of Pronominal Subjects,Lango,,,Noonan 1992
